id,solver,instance,n_items,n_classes,type,objective,type1_bins,type2_bins,type3_bins,type4_bins,bins_total,time_seconds,average_fill_rate,min_fill_rate,max_fill_rate,time_to_best_seconds,iterations
1,alns_3600s,set3_t1_corr/I250_C4_10,250,4,1,4672.83,35,10,0,0,45,3600.01,0.67,0.23,0.98,1269.0,605702
2,alns_300s,set3_t1_corr/I250_C4_2,250,4,1,6061.0,35,21,0,0,56,300.0,0.51,0.21,0.98,98.2,96606
8,alns_3600s,set3_t1_corr/I250_C4_2,250,4,1,5939.05,35,20,0,0,55,3600.0,0.53,0.13,0.94,812.71,744759
1,alns_300s,set3_t1_corr/I250_C4_3,250,4,1,4321.44,35,0,7,0,42,300.0,0.75,0.21,0.99,73.82,99805
3,alns_3600s,set3_t1_corr/I250_C4_3,250,4,1,4204.09,35,0,6,0,41,3600.01,0.77,0.21,0.99,1583.33,787968
3,alns_300s,set3_t1_corr/I250_C4_4,250,4,1,5082.4,35,13,0,0,48,300.0,0.62,0.16,0.98,38.67,114817
5,alns_3600s,set3_t1_corr/I250_C4_4,250,4,1,4960.68,35,12,0,0,47,3600.01,0.64,0.21,0.99,1632.24,825945
9,alns_300s,set3_t1_corr/I250_C4_5,250,4,1,4277.08,35,0,6,0,41,300.0,0.77,0.14,1.0,58.12,140411
1,alns_3600s,set3_t1_corr/I250_C4_5,250,4,1,4277.08,35,0,6,0,41,3600.01,0.77,0.18,0.99,1399.89,706822
1,alns_300s,set3_t1_corr/I250_C4_6,250,4,1,4479.72,35,0,8,0,43,300.0,0.75,0.18,0.99,48.12,100109
1,alns_3600s,set3_t1_corr/I250_C4_6,250,4,1,4479.72,35,0,8,0,43,3600.0,0.75,0.18,0.99,47.3,683262
4,alns_300s,set3_t1_corr/I250_C4_7,250,4,1,6313.15,35,23,0,0,58,300.0,0.5,0.13,0.91,198.6,123024
1,alns_3600s,set3_t1_corr/I250_C4_7,250,4,1,6190.84,35,22,0,0,57,3600.01,0.53,0.1,0.96,360.44,679292
3,alns_300s,set3_t1_corr/I250_C4_8,250,4,1,4213.51,35,6,0,0,41,300.0,0.78,0.35,0.97,267.2,115099
3,alns_3600s,set3_t1_corr/I250_C4_8,250,4,1,4213.51,35,6,0,0,41,3600.0,0.78,0.35,0.97,221.47,819971
1,alns_300s,set3_t1_corr/I250_C4_9,250,4,1,4230.09,35,0,6,0,41,300.0,0.78,0.22,1.0,199.97,99527
1,alns_3600s,set3_t1_corr/I250_C4_9,250,4,1,4230.09,35,0,6,0,41,3600.0,0.78,0.22,1.0,192.1,670432
4,alns_300s,set3_t1_noncorr/I250_C4_1,250,4,1,4963.91,35,0,12,0,47,300.0,0.65,0.15,0.99,80.47,119023
4,alns_3600s,set3_t1_noncorr/I250_C4_1,250,4,1,4963.91,35,0,12,0,47,3600.0,0.65,0.15,0.99,76.8,775777
4,alns_300s,set3_t1_noncorr/I250_C4_10,250,4,1,4671.71,35,10,0,0,45,300.0,0.69,0.22,1.0,103.04,126266
5,alns_3600s,set3_t1_noncorr/I250_C4_10,250,4,1,4554.54,35,9,0,0,44,3600.01,0.7,0.1,0.98,964.07,828210
1,alns_300s,set3_t1_noncorr/I250_C4_2,250,4,1,4631.45,35,9,0,0,44,300.0,0.7,0.21,0.99,74.92,90602
2,alns_3600s,set3_t1_noncorr/I250_C4_2,250,4,1,4505.73,35,8,0,0,43,3600.0,0.73,0.23,0.99,2355.67,795178
2,alns_300s,set3_t1_noncorr/I250_C4_3,250,4,1,4456.13,35,0,8,0,43,300.0,0.75,0.15,0.98,163.32,116921
1,alns_3600s,set3_t1_noncorr/I250_C4_3,250,4,1,4456.13,35,0,8,0,43,3600.01,0.75,0.13,0.99,1971.58,691872
1,alns_300s,set3_t1_noncorr/I250_C4_4,250,4,1,4492.39,35,0,8,0,43,300.0,0.71,0.14,0.98,101.82,95901
1,alns_3600s,set3_t1_noncorr/I250_C4_4,250,4,1,4368.34,35,0,7,0,42,3600.0,0.74,0.19,0.99,2673.82,716155
6,alns_300s,set3_t1_noncorr/I250_C4_5,250,4,1,4482.63,35,0,8,0,43,300.0,0.74,0.23,1.0,59.26,137247
6,alns_3600s,set3_t1_noncorr/I250_C4_5,250,4,1,4482.63,35,0,8,0,43,3600.0,0.74,0.23,1.0,57.33,904475
1,alns_300s,set3_t1_noncorr/I250_C4_6,250,4,1,4685.45,35,0,9,0,44,300.0,0.7,0.17,1.0,142.21,96346
1,alns_3600s,set3_t1_noncorr/I250_C4_6,250,4,1,4685.45,35,0,9,0,44,3600.01,0.7,0.17,1.0,139.64,695564
1,alns_300s,set3_t1_noncorr/I250_C4_7,250,4,1,4134.1,35,0,5,0,40,300.0,0.79,0.24,1.0,188.05,93328
1,alns_3600s,set3_t1_noncorr/I250_C4_7,250,4,1,4134.1,35,0,5,0,40,3600.0,0.79,0.24,1.0,188.52,669726
2,alns_300s,set3_t1_noncorr/I250_C4_8,250,4,1,4599.73,35,0,9,0,44,300.0,0.71,0.18,0.99,138.27,101908
4,alns_3600s,set3_t1_noncorr/I250_C4_8,250,4,1,4477.53,35,0,8,0,43,3600.01,0.73,0.21,0.99,1965.12,729946
10,alns_300s,set3_t1_noncorr/I250_C4_9,250,4,1,4721.73,35,0,10,0,45,300.0,0.67,0.13,0.98,256.24,140507
4,alns_3600s,set3_t1_noncorr/I250_C4_9,250,4,1,4721.73,35,0,10,0,45,3600.01,0.68,0.17,1.0,470.78,858909
10,alns_300s,set3_t1_corr/I250_C5_1,250,5,1,5882.19,35,0,19,0,54,300.0,0.52,0.14,1.0,129.67,110304
8,alns_3600s,set3_t1_corr/I250_C5_1,250,5,1,5756.81,35,0,18,0,53,3600.0,0.54,0.14,1.0,639.61,741431
1,alns_300s,set3_t1_corr/I250_C5_10,250,5,1,6783.91,35,28,0,0,63,300.01,0.41,0.12,0.86,105.35,72392
5,alns_3600s,set3_t1_corr/I250_C5_10,250,5,1,6666.63,35,27,0,0,62,3600.0,0.42,0.08,0.7,1649.77,717644
1,alns_300s,set3_t1_corr/I250_C5_2,250,5,1,7570.2,35,28,5,0,68,300.01,0.39,0.1,0.74,157.49,65104
5,alns_3600s,set3_t1_corr/I250_C5_2,250,5,1,7439.09,35,28,4,0,67,3600.0,0.39,0.09,0.73,1972.66,711272
1,alns_300s,set3_t1_corr/I250_C5_3,250,5,1,4673.49,35,0,10,0,45,300.0,0.7,0.12,1.0,164.78,83760
10,alns_3600s,set3_t1_corr/I250_C5_3,250,5,1,4556.14,35,0,9,0,44,3600.0,0.72,0.16,0.98,440.71,783290
1,alns_300s,set3_t1_corr/I250_C5_4,250,5,1,6664.8,35,26,0,0,61,300.0,0.44,0.13,0.76,221.08,76329
1,alns_3600s,set3_t1_corr/I250_C5_4,250,5,1,6664.8,35,26,0,0,61,3600.0,0.44,0.13,0.76,228.9,610137
1,alns_300s,set3_t1_corr/I250_C5_5,250,5,1,4924.65,35,0,11,0,46,300.0,0.66,0.11,0.95,57.42,90826
1,alns_3600s,set3_t1_corr/I250_C5_5,250,5,1,4924.65,35,0,11,0,46,3600.0,0.66,0.11,0.95,59.95,702147
2,alns_300s,set3_t1_corr/I250_C5_6,250,5,1,5581.9,35,0,17,0,52,300.0,0.56,0.11,0.97,104.83,89044
2,alns_3600s,set3_t1_corr/I250_C5_6,250,5,1,5581.9,35,0,17,0,52,3600.01,0.56,0.11,0.97,66.99,700305
8,alns_300s,set3_t1_corr/I250_C5_7,250,5,1,8456.12,35,28,12,0,75,300.0,0.33,0.1,0.56,141.97,105189
1,alns_3600s,set3_t1_corr/I250_C5_7,250,5,1,8456.12,35,28,12,0,75,3600.0,0.33,0.09,0.59,634.39,631251
5,alns_300s,set3_t1_corr/I250_C5_8,250,5,1,4927.01,35,12,0,0,47,300.0,0.65,0.12,0.99,135.48,111871
1,alns_3600s,set3_t1_corr/I250_C5_8,250,5,1,4927.01,35,12,0,0,47,3600.01,0.65,0.21,0.99,991.51,692813
2,alns_300s,set3_t1_corr/I250_C5_9,250,5,1,5568.59,35,0,17,0,52,300.0,0.54,0.12,0.98,132.0,102201
2,alns_3600s,set3_t1_corr/I250_C5_9,250,5,1,5568.59,35,0,17,0,52,3600.0,0.54,0.12,0.98,121.25,733614
9,alns_300s,set3_t1_noncorr/I250_C5_1,250,5,1,5939.86,35,0,20,0,55,300.0,0.51,0.09,0.96,241.6,111974
4,alns_3600s,set3_t1_noncorr/I250_C5_1,250,5,1,5939.86,35,0,20,0,55,3600.0,0.52,0.11,0.99,335.15,774739
1,alns_300s,set3_t1_noncorr/I250_C5_10,250,5,1,5609.08,35,18,0,0,53,300.0,0.55,0.14,0.97,191.25,83544
2,alns_3600s,set3_t1_noncorr/I250_C5_10,250,5,1,5374.73,35,16,0,0,51,3600.0,0.57,0.17,0.94,440.82,741950
3,alns_300s,set3_t1_noncorr/I250_C5_2,250,5,1,5511.46,35,16,0,0,51,300.0,0.6,0.14,0.98,38.38,110892
2,alns_3600s,set3_t1_noncorr/I250_C5_2,250,5,1,5511.46,35,16,0,0,51,3600.01,0.58,0.17,0.98,2099.29,782898
1,alns_300s,set3_t1_noncorr/I250_C5_3,250,5,1,5412.27,35,0,16,0,51,300.0,0.58,0.13,0.98,77.71,102448
3,alns_3600s,set3_t1_noncorr/I250_C5_3,250,5,1,5292.75,35,0,15,0,50,3600.0,0.6,0.09,0.99,1732.04,864248
2,alns_300s,set3_t1_noncorr/I250_C5_4,250,5,1,4988.59,35,0,12,0,47,300.0,0.63,0.15,0.99,89.69,108802
2,alns_3600s,set3_t1_noncorr/I250_C5_4,250,5,1,4988.59,35,0,12,0,47,3600.0,0.63,0.15,0.99,65.57,773036
6,alns_300s,set3_t1_noncorr/I250_C5_5,250,5,1,5342.43,35,0,15,0,50,300.0,0.6,0.16,0.98,62.09,115672
8,alns_3600s,set3_t1_noncorr/I250_C5_5,250,5,1,5219.6,35,0,14,0,49,3600.0,0.59,0.13,0.99,3391.28,806347
10,alns_300s,set3_t1_noncorr/I250_C5_6,250,5,1,5739.19,35,0,17,0,52,300.0,0.56,0.11,0.95,288.4,121730
10,alns_3600s,set3_t1_noncorr/I250_C5_6,250,5,1,5739.19,35,0,17,0,52,3600.0,0.56,0.11,0.95,278.95,805335
3,alns_300s,set3_t1_noncorr/I250_C5_7,250,5,1,4895.03,35,0,11,0,46,300.0,0.64,0.18,0.95,248.74,115040
1,alns_3600s,set3_t1_noncorr/I250_C5_7,250,5,1,4895.03,35,0,11,0,46,3600.01,0.65,0.13,0.98,1591.07,676152
1,alns_300s,set3_t1_noncorr/I250_C5_8,250,5,1,5577.26,35,0,17,0,52,300.0,0.55,0.11,0.97,215.89,86246
5,alns_3600s,set3_t1_noncorr/I250_C5_8,250,5,1,5577.26,35,0,17,0,52,3600.0,0.54,0.17,0.97,544.67,754734
4,alns_300s,set3_t1_noncorr/I250_C5_9,250,5,1,5576.94,35,0,17,0,52,300.0,0.53,0.04,0.99,61.8,117325
1,alns_3600s,set3_t1_noncorr/I250_C5_9,250,5,1,5576.94,35,0,17,0,52,3600.0,0.54,0.12,0.96,1814.33,714290
7,alns_300s,set3_t1_corr/I500_C3_1,500,3,1,7221.2,64,7,0,0,71,300.0,0.92,0.36,1.0,186.0,74638
1,alns_3600s,set3_t1_corr/I500_C3_1,500,3,1,7145.39,62,6,2,0,70,3600.0,0.91,0.49,1.0,2525.53,565347
5,alns_300s,set3_t1_corr/I500_C3_10,500,3,1,12746.32,70,46,0,0,116,300.0,0.47,0.11,0.99,257.57,48451
4,alns_3600s,set3_t1_corr/I500_C3_10,500,3,1,12746.32,70,46,0,0,116,3600.01,0.47,0.09,0.99,2064.78,510464
3,alns_300s,set3_t1_corr/I500_C3_2,500,3,1,10053.35,70,25,0,0,95,300.02,0.63,0.11,1.0,126.22,51516
4,alns_3600s,set3_t1_corr/I500_C3_2,500,3,1,10053.35,70,25,0,0,95,3600.0,0.64,0.16,1.0,292.6,589986
4,alns_300s,set3_t1_corr/I500_C3_3,500,3,1,10191.39,70,0,26,0,96,300.0,0.62,0.14,0.99,142.08,59180
3,alns_3600s,set3_t1_corr/I500_C3_3,500,3,1,9945.9,70,0,24,0,94,3600.0,0.64,0.17,1.0,1493.35,585773
4,alns_300s,set3_t1_corr/I500_C3_4,500,3,1,8428.44,70,0,11,0,81,300.0,0.81,0.14,0.99,281.02,46024
8,alns_3600s,set3_t1_corr/I500_C3_4,500,3,1,8168.73,70,0,9,0,79,3600.01,0.85,0.18,1.0,988.64,503927
1,alns_300s,set3_t1_corr/I500_C3_5,500,3,1,7825.98,70,0,7,0,77,300.0,0.87,0.3,1.0,257.46,40252
9,alns_3600s,set3_t1_corr/I500_C3_5,500,3,1,7471.99,70,0,4,0,74,3600.0,0.93,0.64,1.0,938.36,652498
6,alns_300s,set3_t1_corr/I500_C3_6,500,3,1,13305.1,70,0,52,0,122,300.0,0.43,0.08,1.0,267.86,41721
3,alns_3600s,set3_t1_corr/I500_C3_6,500,3,1,12941.35,70,0,49,0,119,3600.01,0.44,0.07,1.0,530.49,461246
3,alns_300s,set3_t1_corr/I500_C3_7,500,3,1,10201.65,70,27,0,0,97,300.0,0.6,0.15,1.0,200.72,49994
3,alns_3600s,set3_t1_corr/I500_C3_7,500,3,1,10201.65,70,27,0,0,97,3600.0,0.6,0.15,1.0,182.39,555585
2,alns_300s,set3_t1_corr/I500_C3_8,500,3,1,11132.52,70,32,0,0,102,300.0,0.59,0.15,0.98,282.48,51737
5,alns_3600s,set3_t1_corr/I500_C3_8,500,3,1,10874.24,70,30,0,0,100,3600.0,0.61,0.15,0.99,555.49,569677
7,alns_300s,set3_t1_corr/I500_C3_9,500,3,1,9268.25,70,17,0,0,87,300.01,0.72,0.2,1.0,248.68,47795
2,alns_3600s,set3_t1_corr/I500_C3_9,500,3,1,9268.25,70,17,0,0,87,3600.01,0.71,0.2,0.99,642.1,455165
4,alns_300s,set3_t1_noncorr/I500_C3_1,500,3,1,8867.29,70,0,15,0,85,300.0,0.75,0.21,1.0,253.45,46467
2,alns_3600s,set3_t1_noncorr/I500_C3_1,500,3,1,8867.29,70,0,15,0,85,3600.0,0.74,0.17,0.99,543.68,496851
1,alns_300s,set3_t1_noncorr/I500_C3_10,500,3,1,8782.09,70,0,14,0,84,300.0,0.75,0.2,1.0,285.27,33945
1,alns_3600s,set3_t1_noncorr/I500_C3_10,500,3,1,8782.09,70,0,14,0,84,3600.01,0.75,0.2,1.0,275.74,461801
5,alns_300s,set3_t1_noncorr/I500_C3_2,500,3,1,8643.33,70,0,13,0,83,300.0,0.77,0.16,1.0,231.2,47144
7,alns_3600s,set3_t1_noncorr/I500_C3_2,500,3,1,8516.92,70,0,12,0,82,3600.01,0.79,0.21,1.0,1614.48,479381
