id,solver,instance,n_items,n_classes,type,objective,type1_bins,type2_bins,type3_bins,type4_bins,bins_total,time_seconds,average_fill_rate,min_fill_rate,max_fill_rate,time_to_best_seconds,iterations
10,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2512,0,4,1,16,21,300.0,0.99,0.98,1.0,0.42,248231
1,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.98,1.0,2413.08,965107
2,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.98,1.0,239.28,1227384
3,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2512,0,4,1,16,21,3600.0,0.99,0.98,1.0,0.05,1278450
4,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,39.91,1257057
5,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2512,0,4,1,16,21,3600.0,0.99,0.97,1.0,0.26,1280404
6,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,379.15,1285770
7,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,1152.34,1252450
8,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,163.76,1258629
9,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,1098.56,1267491
10,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB3_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.98,1.0,1726.87,1268183
1,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.99,1.0,59.35,194753
2,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.99,1.0,31.6,235460
3,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.98,1.0,27.13,267364
4,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.99,1.0,4.49,281214
5,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.98,1.0,78.42,294729
6,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.99,1.0,0.87,307969
7,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.99,1.0,14.41,314981
8,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.99,1.0,113.57,321185
9,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.99,1.0,7.2,315501
10,alns_300s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,300.0,1.0,0.99,1.0,37.7,316319
1,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,60.49,798165
2,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,22.05,1004097
3,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.98,1.0,17.18,1064131
4,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,2.55,1069076
5,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.98,1.0,76.95,1080215
6,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,0.83,1076582
7,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,15.19,1085964
8,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,122.58,1090639
9,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,7.39,1082877
10,alns_3600s,set1/ID1_I100_C120_ALPHA1.41_BETA6.6_U0.1_UB4_R1,100,1,1,2440,0,0,0,20,20,3600.0,1.0,0.99,1.0,42.26,1069718
