id,solver,instance,n_items,n_classes,type,objective,solver_wall_time,best_bound,opt_gap,termination_reason,columns,iterations,iterations_heuristic,iterations_exact,frac_iter_heuristic,frac_iter_exact,time_master,time_sub,time_sub_heuristic,time_sub_exact,frac_time_master,frac_time_sub,frac_time_sub_heuristic,frac_time_sub_exact
1,colgen,set3_t3_noncorr/I500_C5_7,500,5,3,11844.53,1074.1,11844.53,0.0,OPTIMAL,4593,552,526,26,0.95,0.05,30.34,1041.03,51.84,989.19,0.03,0.97,0.05,0.92
1,colgen,set3_t3_noncorr/I500_C5_8,500,5,3,11490.84,1098.99,11490.84,0.0,OPTIMAL,4979,622,588,34,0.95,0.05,37.12,1058.91,63.84,995.06,0.03,0.96,0.06,0.91
1,colgen,set3_t3_noncorr/I500_C5_9,500,5,3,11222.44,412.04,11222.44,0.0,OPTIMAL,4511,482,458,24,0.95,0.05,33.38,376.02,46.98,329.04,0.08,0.91,0.11,0.8
1,colgen,set3_t3_corr/I1000_C3_1,1000,3,3,19110.72,60310.65,19110.72,0.0,OPTIMAL,10828,1161,1127,34,0.97,0.03,454.42,59845.83,322.8,59523.04,0.01,0.99,0.01,0.99
1,colgen,set3_t3_corr/I1000_C3_10,1000,3,3,15320.92,158401.72,0.0,1.0,TIMELIMIT,13065,1002,1000,2,1.0,0.0,933.95,157455.03,229.57,157225.46,0.01,0.99,0.0,0.99
1,colgen,set3_t3_corr/I1000_C3_2,1000,3,3,18452.32,45542.82,18452.32,0.0,OPTIMAL,10185,954,927,27,0.97,0.03,427.99,45106.34,280.84,44825.5,0.01,0.99,0.01,0.98
1,colgen,set3_t3_corr/I1000_C3_3,1000,3,3,20779.82,1617.65,20779.82,0.0,OPTIMAL,7982,726,700,26,0.96,0.04,197.9,1412.55,164.41,1248.14,0.12,0.87,0.1,0.77
1,colgen,set3_t3_corr/I1000_C3_4,1000,3,3,23374.35,1470.51,23374.35,0.0,OPTIMAL,8401,969,930,39,0.96,0.04,217.02,1245.64,223.39,1022.25,0.15,0.85,0.15,0.7
1,colgen,set3_t3_corr/I1000_C3_5,1000,3,3,15325.56,158401.98,0.0,1.0,TIMELIMIT,11401,731,729,2,1.0,0.0,726.02,157665.53,171.74,157493.79,0.0,1.0,0.0,0.99
1,colgen,set3_t3_corr/I1000_C3_6,1000,3,3,23069.5,1086.71,23069.5,0.0,OPTIMAL,7548,767,733,34,0.96,0.04,166.59,913.44,180.24,733.2,0.15,0.84,0.17,0.67
1,colgen,set3_t3_corr/I1000_C3_7,1000,3,3,20431.66,6961.27,20431.66,0.0,OPTIMAL,9348,849,822,27,0.97,0.03,292.55,6660.12,219.0,6441.12,0.04,0.96,0.03,0.93
1,colgen,set3_t3_corr/I1000_C3_8,1000,3,3,22462.25,1356.93,22462.25,0.0,OPTIMAL,7957,837,809,28,0.97,0.03,197.24,1152.18,186.8,965.38,0.15,0.85,0.14,0.71
1,colgen,set3_t3_corr/I1000_C3_9,1000,3,3,29242.32,295.4,29242.32,0.0,OPTIMAL,6833,733,722,11,0.98,0.02,74.84,215.16,92.93,122.22,0.25,0.73,0.31,0.41
1,colgen,set3_t3_noncorr/I1000_C3_1,1000,3,3,20424.75,2748.52,20424.75,0.0,OPTIMAL,8098,752,726,26,0.97,0.03,234.59,2506.2,162.89,2343.31,0.09,0.91,0.06,0.85
1,colgen,set3_t3_noncorr/I1000_C3_10,1000,3,3,18085.2,92691.64,17773.36,0.02,TIMELIMIT,11003,1092,1076,16,0.99,0.01,540.33,92141.2,290.24,91850.97,0.01,0.99,0.0,0.99
1,colgen,set3_t3_noncorr/I1000_C3_2,1000,3,3,25628.09,504.21,25628.09,0.0,OPTIMAL,6635,629,607,22,0.97,0.03,94.17,404.26,104.83,299.43,0.19,0.8,0.21,0.59
1,colgen,set3_t3_noncorr/I1000_C3_3,1000,3,3,19918.57,12125.65,19918.57,0.0,OPTIMAL,9444,834,803,31,0.96,0.04,315.1,11801.75,211.21,11590.53,0.03,0.97,0.02,0.96
1,colgen,set3_t3_noncorr/I1000_C3_4,1000,3,3,22342.66,1093.73,22342.66,0.0,OPTIMAL,7470,684,664,20,0.97,0.03,149.5,937.47,129.0,808.48,0.14,0.86,0.12,0.74
1,colgen,set3_t3_noncorr/I1000_C3_5,1000,3,3,20334.87,8345.28,20334.87,0.0,OPTIMAL,8734,751,728,23,0.97,0.03,261.79,8075.26,177.12,7898.14,0.03,0.97,0.02,0.95
1,colgen,set3_t3_noncorr/I1000_C3_6,1000,3,3,21803.75,5330.21,21803.75,0.0,OPTIMAL,8552,812,789,23,0.97,0.03,222.79,5099.77,165.33,4934.44,0.04,0.96,0.03,0.93
1,colgen,set3_t3_noncorr/I1000_C3_7,1000,3,3,19274.84,9520.45,19274.84,0.0,OPTIMAL,9400,835,812,23,0.97,0.03,335.41,9175.86,193.74,8982.12,0.04,0.96,0.02,0.94
1,colgen,set3_t3_noncorr/I1000_C3_8,1000,3,3,19432.32,14485.9,19432.32,0.0,OPTIMAL,9227,840,816,24,0.97,0.03,340.18,14137.22,210.43,13926.8,0.02,0.98,0.01,0.96
1,colgen,set3_t3_noncorr/I1000_C3_9,1000,3,3,18848.57,14419.42,18848.57,0.0,OPTIMAL,9456,838,812,26,0.97,0.03,358.39,14051.68,203.33,13848.36,0.02,0.97,0.01,0.96
1,colgen,set3_t3_corr/I1000_C4_1,1000,4,3,21147.06,90347.93,21137.46,0.0,TIMELIMIT,10962,1170,1125,45,0.96,0.04,379.7,89957.54,340.94,89616.6,0.0,1.0,0.0,0.99
1,colgen,set3_t3_corr/I1000_C4_10,1000,4,3,17978.59,158400.87,0.0,1.0,TIMELIMIT,11699,890,888,2,1.0,0.0,601.57,157788.3,202.92,157585.38,0.0,1.0,0.0,0.99
1,colgen,set3_t3_corr/I1000_C4_2,1000,4,3,24519.17,1580.17,24519.17,0.0,OPTIMAL,8631,1138,1088,50,0.96,0.04,210.45,1361.88,282.23,1079.65,0.13,0.86,0.18,0.68
1,colgen,set3_t3_corr/I1000_C4_3,1000,4,3,28705.92,372.01,28705.92,0.0,OPTIMAL,7191,806,791,15,0.98,0.02,83.61,282.62,108.63,173.99,0.22,0.76,0.29,0.47
1,colgen,set3_t3_corr/I1000_C4_4,1000,4,3,24110.04,2130.9,24110.04,0.0,OPTIMAL,9458,1388,1332,56,0.96,0.04,232.85,1888.9,295.59,1593.31,0.11,0.89,0.14,0.75
1,colgen,set3_t3_corr/I1000_C4_5,1000,4,3,20053.65,88734.04,20046.65,0.0,TIMELIMIT,10938,1158,1120,38,0.97,0.03,407.19,88316.72,321.97,87994.74,0.0,1.0,0.0,0.99
