bin,item
252,336
253,322
253,312
253,8
254,455
254,288
255,653
255,125
256,457
256,25
257,699
257,436
258,142
258,117
258,146
259,626
259,473
259,379
260,293
260,9
260,175
261,96
261,78
261,540
262,815
262,49
262,265
263,764
263,284
263,715
264,516
264,425
264,674
265,703
265,635
265,482
266,729
266,747
266,153
267,741
267,286
267,558
268,876
268,219
268,568
269,621
269,787
269,370
270,893
270,179
270,829
271,857
271,94
271,345
271,191
272,669
272,803
272,742
273,231
273,431
273,120
273,910
274,781
274,448
274,800
275,672
275,637
275,670
276,580
276,739
276,660
277,867
277,167
277,313
277,106
278,582
278,765
278,855
278,236
279,932
279,268
279,584
279,23
280,871
280,80
280,573
281,890
281,894
281,18
281,373
282,978
282,578
282,663
283,975
283,823
283,974
284,903
284,931
284,438
285,946
285,119
285,756
285,498
286,924
286,331
286,791
286,612
287,883
287,364
287,567
287,783
288,908
288,53
288,137
288,599
289,988
289,793
289,645
289,306
290,905
290,624
290,678
290,671
291,943
291,917
291,797
292,888
292,794
292,583
293,758
293,534
293,766
293,565
294,941
294,745
294,963
295,575
295,668
295,505
295,337
296,937
296,706
296,656
296,834
297,927
297,930
297,701
298,987
298,936
298,554
299,915
299,620
299,925
300,951
300,343
300,510
300,782
301,952
301,595
301,944
301,148
302,863
302,58
302,727
302,881
303,957
303,619
303,981
304,851
304,873
304,339
304,560
305,972
305,171
305,279
305,853
306,995
306,673
306,796
306,529
307,861
307,945
307,272
307,962
308,860
308,234
308,592
308,934
309,992
309,642
309,630
309,761
310,999
310,850
310,887
310,111
311,854
311,919
311,900
312,720
312,215
312,0
